global_step,epoch,tokens_seen,train_loss,val_loss,elapsed_seconds
100,1,819200,9.90282564163208,9.965883922576904,1683.863980770111
200,1,1638400,9.238831710815429,9.276197242736817,1759.9276571273804
300,1,2457600,8.747006607055663,8.756918048858642,1836.3750030994415
400,1,3276800,8.460391330718995,8.54784517288208,1912.8971810340881
500,1,4096000,8.400608444213868,8.48272180557251,1989.370642900467
600,1,4915200,8.43808193206787,8.426851940155029,2065.847984313965
700,1,5734400,8.277617645263671,8.37001667022705,2142.3493802547455
800,1,6553600,8.204465770721436,8.324265384674073,2218.8705530166626
900,1,7372800,8.244757556915284,8.276641941070556,2295.430822134018
1000,1,8192000,8.207656097412109,8.229071044921875,2372.029798269272
1100,1,9011200,8.055524539947509,8.183177757263184,2449.7303931713104
1200,1,9830400,8.051928997039795,8.126500558853149,2526.272763967514
1300,1,10649600,7.950784349441529,8.075328254699707,2602.7976286411285
1400,1,11468800,8.007522249221802,8.018576192855836,2679.3538451194763
1500,1,12288000,7.881042432785034,7.930278778076172,2755.8964624404907
1600,1,13107200,7.791737747192383,7.858574438095093,2832.450744867325
1700,1,13926400,7.6023167133331295,7.801942014694214,2909.0284910202026
1800,1,14745600,7.510780763626099,7.749052906036377,2985.622867822647
1900,1,15564800,7.560806179046631,7.7001426219940186,3062.2191202640533
2000,1,16384000,7.486200284957886,7.617430830001831,3138.823724269867
2100,1,17203200,7.4836711406707765,7.577461671829224,3216.4938349723816
2200,1,18022400,7.481060266494751,7.537919616699218,3293.099581718445
2300,1,18841600,7.335163974761963,7.507984781265259,3369.669883966446
2400,1,19660800,7.285948324203491,7.459151744842529,3446.21888256073
2500,1,20480000,7.237944078445435,7.410168123245239,3522.7651138305664
2600,1,21299200,7.199887132644653,7.376831007003784,3599.3054571151733
2700,1,22118400,7.098222255706787,7.341763305664062,3675.8681354522705
2800,1,22937600,7.224423885345459,7.300220489501953,3752.4358854293823
2900,1,23756800,7.062607383728027,7.259788131713867,3829.025651216507
3000,1,24576000,6.947974157333374,7.219668340682984,3905.6378180980682
3100,1,25395200,6.925925397872925,7.184293508529663,3983.3493654727936
3200,1,26214400,7.196753025054932,7.17564024925232,4059.98819732666
3300,1,27033600,6.75267014503479,7.123489809036255,4136.628408432007
